release_date,ticker,Sentiment title,positive,negative,neutral
2016-04-18,AAPL,[0.373 0.01  0.617],0.3729999959468841,0.0099999997764825,0.6169999837875366
2016-04-18,AAPL,[0.062 0.076 0.863],0.061999998986721,0.0759999975562095,0.8629999756813049
2016-04-18,AMZN,[0.064 0.016 0.92 ],0.0640000030398368,0.0160000007599592,0.9200000166893004
2016-04-18,MSFT,[0.029 0.054 0.917],0.0289999991655349,0.0540000014007091,0.9169999957084656
2016-04-18,AAPL,[0.013 0.962 0.025],0.0130000002682209,0.962000012397766,0.025000000372529
2016-04-18,AAPL,[0.803 0.06  0.137],0.8029999732971191,0.0599999986588954,0.1369999945163726
2016-04-18,XEL,[0.593 0.037 0.369],0.5929999947547913,0.0370000004768371,0.3689999878406524
2016-04-18,GOOGL,[0.555 0.023 0.423],0.5550000071525574,0.0230000000447034,0.4230000078678131
2016-04-18,MSFT,[0.716 0.123 0.161],0.7160000205039978,0.1230000033974647,0.1609999984502792
2016-04-18,COST,[0.144 0.593 0.264],0.1439999938011169,0.5929999947547913,0.2639999985694885
2016-04-18,TSLA,[0.128 0.112 0.761],0.1280000060796737,0.1120000034570694,0.7609999775886536
2016-04-18,NFLX,[0.052 0.926 0.022],0.0520000010728836,0.9259999990463256,0.0219999998807907
2016-04-18,NFLX,[0.008 0.971 0.021],0.0080000003799796,0.9710000157356262,0.0209999997168779
2016-04-18,NFLX,[0.219 0.508 0.272],0.2189999967813491,0.5080000162124634,0.2720000147819519
2016-04-18,ASML,[0.928 0.03  0.041],0.9279999732971193,0.0299999993294477,0.0410000011324882
2016-04-18,NFLX,[0.035 0.015 0.95 ],0.0350000001490116,0.0149999996647238,0.949999988079071
2016-04-18,PEP,[0.871 0.047 0.082],0.8709999918937683,0.0469999983906745,0.0820000022649765
2016-04-18,ADBE,[0.029 0.035 0.935],0.0289999991655349,0.0350000001490116,0.9350000023841858
2016-04-18,COST,[0.11 0.01 0.88],0.1099999994039535,0.0099999997764825,0.8799999952316284
2016-04-18,AAPL,[0.138 0.059 0.803],0.1379999965429306,0.0590000003576278,0.8029999732971191
2016-04-18,AAPL,[0.102 0.015 0.883],0.1019999980926513,0.0149999996647238,0.8830000162124634
2016-04-18,SBUX,[0.081 0.022 0.898],0.0810000002384185,0.0219999998807907,0.8980000019073486
2016-04-18,PEP,[0.008 0.974 0.017],0.0080000003799796,0.9739999771118164,0.0170000009238719
